key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name
"(10223, 1)",Los Angeles Valiant,75.64959716796875,75.61505126953125,0.0,75.61505126953125,125.75057220458984,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock
"(10223, 2)",Los Angeles Valiant,0.0,0.0,0.0,0.0,262.1850891113281,250.49200439453125,276.39605712890625,500.9840087890625,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock
"(10223, 3)",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,165.0,Los Angeles Valiant,San Francisco Shock
"(10223, 4)",Los Angeles Valiant,75.56366729736328,75.54950714111328,0.0,75.54950714111328,165.84002685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock
"(10224, 1)",Los Angeles Gladiators,70.17893218994139,70.161865234375,0.0,70.161865234375,186.31280517578125,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Shanghai Dragons
"(10224, 2)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,356.864013671875,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Shanghai Dragons
"(10224, 3)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,200.0,Shanghai Dragons,Los Angeles Gladiators
"(10224, 4)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,107.62400817871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Shanghai Dragons
"(10225, 1)",Dallas Fuel,86.96978759765625,102.00457763671876,0.0,102.00457763671876,0.0,63.6915168762207,240.0,63.6915168762207,0.0,0.0,0.0,0.0,Seoul Dynasty,Dallas Fuel
"(10225, 2)",Seoul Dynasty,0.0,0.0,0.0,0.0,498.8291320800781,644.4900512695312,450.7961120605469,1018.5740661621094,0.0,0.0,0.0,0.0,Seoul Dynasty,Dallas Fuel
"(10225, 3)",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,200.0,Dallas Fuel,Seoul Dynasty
"(10225, 4)",draw,71.79545593261719,71.79216766357422,71.79545593261719,71.79216766357422,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,Seoul Dynasty,Dallas Fuel
"(10226, 1)",Florida Mayhem,93.28312683105469,93.26958465576172,0.0,93.26958465576172,172.70278930664062,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Florida Mayhem,London Spitfire
"(10226, 2)",London Spitfire,0.0,0.0,0.0,0.0,0.0,284.8690185546875,240.0,284.8690185546875,0.0,0.0,0.0,0.0,Florida Mayhem,London Spitfire
"(10226, 3)",London Spitfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,198.0,London Spitfire,Florida Mayhem
"(10226, 4)",London Spitfire,0.0,71.80075073242188,0.0,71.80075073242188,0.0,181.82601928710938,0.0,181.82601928710938,0.0,0.0,0.0,0.0,Florida Mayhem,London Spitfire
"(10227, 1)",Philadelphia Fusion,78.91957092285156,85.7879638671875,0.0,85.7879638671875,0.0,29.22543334960937,240.0,29.22543334960937,0.0,0.0,0.0,0.0,Houston Outlaws,Philadelphia Fusion
"(10227, 2)",Houston Outlaws,0.0,0.0,0.0,0.0,308.31201171875,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Philadelphia Fusion
"(10227, 3)",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,Philadelphia Fusion,Houston Outlaws
"(10227, 4)",Houston Outlaws,67.72811889648439,67.73542022705078,0.0,135.47084045410156,162.1531105041504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Philadelphia Fusion
"(10227, 5)",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,81.0,Philadelphia Fusion,Houston Outlaws
"(10228, 1)",New York Excelsior,91.33758544921876,91.34840393066406,0.0,91.34840393066406,226.00070190429688,0.0,240.0,0.0,0.0,0.0,0.0,0.0,New York Excelsior,Boston Uprising
"(10228, 2)",Boston Uprising,0.0,0.0,0.0,0.0,170.58700561523438,430.08702087402344,240.0,614.8040161132812,0.0,0.0,0.0,0.0,New York Excelsior,Boston Uprising
"(10228, 3)",New York Excelsior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,200.0,Boston Uprising,New York Excelsior
"(10228, 4)",New York Excelsior,94.58244323730469,94.57969665527344,0.0,94.57969665527344,217.052001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Excelsior,Boston Uprising
"(10229, 1)",Los Angeles Valiant,251.97034454345703,228.06900024414062,204.0189971923828,228.06900024414062,285.51756286621094,66.77997589111328,525.5175628662109,126.77997589111328,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Valiant
"(10229, 2)",draw,0.0,0.0,0.0,0.0,453.6210021972656,499.19102478027344,633.6210021972656,675.0619812011719,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Valiant
"(10229, 3)",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,99.0,Los Angeles Valiant,Dallas Fuel
"(10229, 4)",Los Angeles Valiant,0.0,71.80340576171875,0.0,71.80340576171875,0.0,174.58798217773438,0.0,174.58798217773438,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Valiant
"(10230, 1)",Boston Uprising,54.81588745117188,54.80433654785156,0.0,54.80433654785156,167.4134979248047,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Boston Uprising,Florida Mayhem
"(10230, 2)",Boston Uprising,0.0,0.0,0.0,0.0,305.2899475097656,51.32803344726562,446.41197204589844,60.0,0.0,0.0,0.0,0.0,Boston Uprising,Florida Mayhem
"(10230, 3)",Boston Uprising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,200.0,Florida Mayhem,Boston Uprising
"(10230, 4)",Boston Uprising,119.05436706542969,119.0525131225586,0.0,119.0525131225586,143.3769989013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boston Uprising,Florida Mayhem
"(10231, 1)",San Francisco Shock,82.46830749511719,98.52540588378906,0.0,98.52540588378906,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Shanghai Dragons,San Francisco Shock
"(10231, 2)",Shanghai Dragons,0.0,0.0,0.0,0.0,138.46499633789062,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Shanghai Dragons,San Francisco Shock
"(10231, 3)",San Francisco Shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,71.0,San Francisco Shock,Shanghai Dragons
"(10231, 4)",San Francisco Shock,66.13467407226561,71.78672790527344,0.0,71.78672790527344,0.0,66.39601135253906,0.0,66.39601135253906,0.0,0.0,0.0,0.0,Shanghai Dragons,San Francisco Shock
