key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name,year,map_name
"(10223, 'Dorado')",Los Angeles Valiant,75.64959716796875,75.61505126953125,0.0,75.61505126953125,125.75057220458984,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock,2018,Dorado
"(10223, 'Temple of Anubis')",Los Angeles Valiant,0.0,0.0,0.0,0.0,262.1850891113281,250.49200439453125,276.39605712890625,500.9840087890625,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock,2018,Temple of Anubis
"(10223, 'Ilios')",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,165.0,Los Angeles Valiant,San Francisco Shock,2018,Ilios
"(10223, 'Numbani')",Los Angeles Valiant,75.56366729736328,75.54950714111328,0.0,75.54950714111328,165.84002685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Valiant,San Francisco Shock,2018,Numbani
"(10224, 'Dorado')",Los Angeles Gladiators,70.17893218994139,70.161865234375,0.0,70.161865234375,186.31280517578125,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Shanghai Dragons,2018,Dorado
"(10224, 'Temple of Anubis')",Los Angeles Gladiators,0.0,0.0,0.0,0.0,356.864013671875,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Shanghai Dragons,2018,Temple of Anubis
"(10224, 'Ilios')",Los Angeles Gladiators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,200.0,Shanghai Dragons,Los Angeles Gladiators,2018,Ilios
"(10224, 'Eichenwalde')",Los Angeles Gladiators,0.0,0.0,0.0,0.0,107.62400817871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,Shanghai Dragons,2018,Eichenwalde
"(10225, 'Junkertown')",Dallas Fuel,86.96978759765625,102.00457763671876,0.0,102.00457763671876,0.0,63.6915168762207,240.0,63.6915168762207,0.0,0.0,0.0,0.0,Seoul Dynasty,Dallas Fuel,2018,Junkertown
"(10225, 'Temple of Anubis')",Seoul Dynasty,0.0,0.0,0.0,0.0,498.8291320800781,644.4900512695312,450.7961120605469,1018.5740661621094,0.0,0.0,0.0,0.0,Seoul Dynasty,Dallas Fuel,2018,Temple of Anubis
"(10225, 'Ilios')",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,200.0,Dallas Fuel,Seoul Dynasty,2018,Ilios
"(10225, 'Numbani')",draw,71.79545593261719,71.79216766357422,71.79545593261719,71.79216766357422,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,Seoul Dynasty,Dallas Fuel,2018,Numbani
"(10226, 'Dorado')",Florida Mayhem,93.28312683105469,93.26958465576172,0.0,93.26958465576172,172.70278930664062,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Florida Mayhem,London Spitfire,2018,Dorado
"(10226, 'Temple of Anubis')",London Spitfire,0.0,0.0,0.0,0.0,0.0,284.8690185546875,240.0,284.8690185546875,0.0,0.0,0.0,0.0,Florida Mayhem,London Spitfire,2018,Temple of Anubis
"(10226, 'Oasis')",London Spitfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,198.0,London Spitfire,Florida Mayhem,2018,Oasis
"(10226, 'Numbani')",London Spitfire,0.0,71.80075073242188,0.0,71.80075073242188,0.0,181.82601928710938,0.0,181.82601928710938,0.0,0.0,0.0,0.0,Florida Mayhem,London Spitfire,2018,Numbani
"(10227, 'Dorado')",Philadelphia Fusion,78.91957092285156,85.7879638671875,0.0,85.7879638671875,0.0,29.22543334960937,240.0,29.22543334960937,0.0,0.0,0.0,0.0,Houston Outlaws,Philadelphia Fusion,2018,Dorado
"(10227, 'Horizon Lunar Colony')",Houston Outlaws,0.0,0.0,0.0,0.0,308.31201171875,0.0,240.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Philadelphia Fusion,2018,Horizon Lunar Colony
"(10227, 'Oasis')",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,Philadelphia Fusion,Houston Outlaws,2018,Oasis
